time,seconds_elapsed,z,y,x
1726995594233579000,0.0335791015625,-8.851399193432927,-3.914203488013148,-1.5818118028208612
1726995594243564800,0.043564697265625,-8.829645042264461,-3.949657370971143,-1.6149180997394024
1726995594253551000,0.053551025390625,-8.805715300622582,-3.9915743124634027,-1.6422830765269696
1726995594263537000,0.063536865234375,-8.780169355955719,-4.038324373200536,-1.664617365670949
1726995594273523000,0.07352294921875,-8.753447937768698,-4.087799182726442,-1.6844662677399813
1726995594283509000,0.083509033203125,-8.726038537317514,-4.138259203897416,-1.7033621068678795
1726995594293495000,0.0934951171875,-8.698644334435462,-4.187817600053549,-1.7222523930378257
1726995594303480800,0.103480712890625,-8.672190627273917,-4.234882425828278,-1.7404785162106156
1726995594313467100,0.113467041015625,-8.647694483920931,-4.277513068547845,-1.7580248404257
1726995594323453000,0.123452880859375,-8.626095815575122,-4.314641606719792,-1.773338144891709
1726995594333438000,0.13343798828125,-8.60825328489244,-4.346052644027769,-1.783307311850786
1726995594343423700,0.143423828125,-8.594106686118245,-4.37274015994519,-1.7862972874470053
1726995594353410000,0.15341015625,-8.583051039096713,-4.395622730621695,-1.7832903607159851
1726995594363395800,0.163395751953125,-8.574415897220373,-4.415520440268517,-1.7756551896624266
1726995594373382000,0.1733818359375,-8.567443720120192,-4.43371602217257,-1.763930118946731
1726995594383368000,0.183367919921875,-8.560926301050186,-4.452129338480532,-1.749132216656953
1726995594393354000,0.19335400390625,-8.553920806202292,-4.472117649020254,-1.7323348111130297
1726995594403339800,0.20333984375,-8.545361067649722,-4.495683525785804,-1.7134803269088268
1726995594413326000,0.213326171875,-8.534535722252725,-4.523962987069785,-1.6928795835591852
1726995594423312000,0.223311767578125,-8.521521342378854,-4.555729705947638,-1.6731348725169897
1726995594433298000,0.2332978515625,-8.507105279013514,-4.589022026957571,-1.6554229824766515
1726995594443284000,0.243283935546875,-8.49206260818243,-4.623652903094888,-1.6361831522166728
1726995594453270000,0.25327001953125,-8.476692020571232,-4.659563882170617,-1.6138609919019042
1726995594463255800,0.263255859375,-8.460959029388427,-4.696145600114763,-1.5902124052889643
1726995594473241900,0.273241943359375,-8.444332304236292,-4.732706567531824,-1.5700710961446165
1726995594483228000,0.283227783203125,-8.426130292591452,-4.769679915142059,-1.5559116378888487
1726995594493214000,0.2932138671875,-8.405914603036642,-4.808588614729047,-1.5454647704154252
1726995594503199700,0.30319970703125,-8.383794541165232,-4.851228025276959,-1.5323089362442492
1726995594513186000,0.31318603515625,-8.360734568095207,-4.898201957897841,-1.5086797849841416
1726995594523171000,0.323171142578125,-8.336926991528273,-4.9492041231215,-1.473570916071534
1726995594533156900,0.333156982421875,-8.311284016227722,-5.004207048419118,-1.4320789219930767
1726995594543143000,0.343142822265625,-8.281983102941513,-5.062929286500811,-1.394950822212547
1726995594553129000,0.35312890625,-8.247753501081466,-5.125101372775435,-1.3705021712630987
1726995594563115000,0.363114990234375,-8.207059671643377,-5.1934050936728715,-1.3576089335508643
1726995594573100800,0.373100830078125,-8.158353216141462,-5.272191045618057,-1.3474642638944088
1726995594583086800,0.3830869140625,-8.101462869662045,-5.364192452967167,-1.3274500882610678
1726995594593073000,0.393072998046875,-8.037977947223187,-5.468643007522821,-1.2865626359470188
1726995594603058700,0.40305859375,-7.972363611540198,-5.57896040828526,-1.2194295662641526
1726995594613045000,0.413044921875,-7.908308195737003,-5.68752307433486,-1.1318673104062675
1726995594623030800,0.42303076171875,-7.845977119508385,-5.790583051314949,-1.0393143335890025
1726995594633016800,0.433016845703125,-7.784660773280263,-5.888355443280935,-0.946948403776437
1726995594643003000,0.4430029296875,-7.723229860761761,-5.982086450901627,-0.8583433608673512
1726995594652989000,0.452989013671875,-7.661495581382512,-6.0717667218267914,-0.7781509761903435
1726995594662974700,0.462974609375,-7.60094495882988,-6.156226043233275,-0.7049168862186372
1726995594672961000,0.4729609375,-7.542493354383111,-6.23575842963159,-0.6296836583189666
1726995594682946800,0.48294677734375,-7.487883812317252,-6.309749548515677,-0.5376224105414003
1726995594692932900,0.492932861328125,-7.4395602186530825,-6.375580741819739,-0.4186911298863589
1726995594702919000,0.5029189453125,-7.397272982543706,-6.432206299883127,-0.27832272812277076
1726995594712905000,0.512905029296875,-7.354921449026465,-6.4852160055369135,-0.1322115083908662
1726995594722890000,0.522889892578125,-7.304183195436001,-6.543643060064316,-0.00514337821235531
1726995594732875800,0.532875732421875,-7.237863341832161,-6.61636868905723,0.08592854457567445
1726995594742862000,0.542862060546875,-7.15192459552288,-6.708435562857985,0.13136924888044596
1726995594752848000,0.552847900390625,-7.043235672745108,-6.822573398691415,0.12535616260338575
1726995594762834000,0.562833984375,-6.907815394908189,-6.960366835400461,0.07595428588294889
1726995594772820000,0.572820068359375,-6.743734839776158,-7.119858309176564,-0.007003043737547705
1726995594782806000,0.582805908203125,-6.548842966794967,-7.29866238618791,-0.11212924509053118
1726995594792791800,0.592791748046875,-6.328299350684881,-7.48775755558908,-0.23767798025710507
1726995594802778000,0.602778076171875,-6.0909226731956005,-7.675944377973675,-0.38847843551747496
1726995594812764000,0.612763916015625,-5.842438326236605,-7.85665458086729,-0.5561238800568505
1726995594822750000,0.62275,-5.593679838511347,-8.021023305290937,-0.7377771724868566
