time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1726407097074932200,0.02393212890625,-2.120844128353253,-0.07872603710676562,0.8651784801360511,0.05472551117624709,-0.48790227876617925,0.08496986613432331,0.22576234340162754
1726407097084928000,0.033927978515625,-2.1136930748465157,-0.0805202869790774,0.8631736331924087,0.05622912720404788,-0.4910015512494643,0.08582108054920456,0.2292304379877416
1726407097094924800,0.0439248046875,-2.107439622845142,-0.08403458802381486,0.8611627851213676,0.06109202215072817,-0.49383213224973427,0.0864100767885071,0.23395259783584507
1726407097104921000,0.053921142578125,-2.1017264469890056,-0.0898542786208206,0.8589592795435088,0.07036367082907267,-0.4965920142437846,0.08666997662328096,0.24044391632312956
1726407097114918000,0.06391796875,-2.0966565746751264,-0.09737218499730782,0.8565940757906096,0.08246101206186894,-0.4991720043452457,0.08713499360911166,0.24905639242343658
1726407097124914000,0.073913818359375,-2.091974872568905,-0.10520510883371272,0.8541188627201437,0.09404526660303623,-0.5015445767235519,0.08868968534153572,0.25995097044869103
1726407097134911000,0.083910888671875,-2.08682515582759,-0.11203136303775205,0.8514801977631317,0.10191329367939314,-0.503933395175831,0.09209476457848727,0.27312968730553816
1726407097144907000,0.093906982421875,-2.0828701322074163,-0.11754409868797955,0.8492424150438922,0.10688896459032465,-0.5056827335723061,0.09620675333404169,0.286175931877293
1726407097154903000,0.103903076171875,-2.0810406609472167,-0.12131466195335433,0.8478112807716728,0.10925872739036531,-0.506427433905556,0.1001502307720374,0.2970400173270713
1726407097164900000,0.113900146484375,-2.0808109044479015,-0.12429125761172484,0.8469264386462776,0.11086938872612655,-0.5064724811537206,0.10369662046551455,0.3063147883945178
1726407097174896000,0.123896240234375,-2.0818863362389517,-0.12746848978529088,0.8463422519476963,0.11356597544688433,-0.5060301521975933,0.1067247571302512,0.31483242917959087
1726407097184893200,0.13389306640625,-2.084485708883964,-0.13032230451548638,0.846200833380874,0.11627517541923042,-0.5049596857690903,0.10943529162671665,0.3223785682018555
1726407097194889000,0.143888916015625,-2.0889903918264756,-0.13153569722124314,0.8468319586572611,0.11629693107522766,-0.5029593856128328,0.11227650635813029,0.32834078402612554
1726407097204886000,0.153885986328125,-2.0953164183631507,-0.13077664476700782,0.8482478000081675,0.11257374883698631,-0.49998478338421604,0.11570789378242223,0.333202008329141
1726407097214882000,0.163882080078125,-2.103363386677899,-0.12840764441915992,0.8503145023179765,0.10548317329328319,-0.4960656075168948,0.11998149984553036,0.33783076312534704
1726407097224879000,0.173879150390625,-2.113258550248411,-0.12428069733984745,0.8530473285261975,0.09462131637134424,-0.49109202744980274,0.12527219835893402,0.3424467191733011
1726407097234875000,0.183875,-2.1247374667272956,-0.11836050182107123,0.8563257806636174,0.07970432518582476,-0.4851114016260024,0.13177234299506005,0.3474658172723543
1726407097244871200,0.19387109375,-2.1372719266904605,-0.11104132585594617,0.8598783245031693,0.061208998729807056,-0.47831012271511,0.1396372148653847,0.3536949660686204
1726407097254868000,0.203867919921875,-2.1506141111610657,-0.10299226018371294,0.8634774915304841,0.04036685074739551,-0.4708025251651273,0.14880953312263637,0.3618076140582563
1726407097264864000,0.213864013671875,-2.1641822373568265,-0.09398396228272513,0.8669889462747995,0.01672614793144031,-0.46275050136485796,0.15924598798408024,0.3716049173891383
1726407097274861000,0.223861083984375,-2.177725175693293,-0.08345246434467711,0.8704302841621483,-0.010455650309344526,-0.4541768244419787,0.17061718531765724,0.38205175612054065
1726407097284857000,0.233857177734375,-2.1907298234066914,-0.07441406194059949,0.8735129434330842,-0.0332484752816034,-0.44606752204034866,0.18017035590765126,0.3910395170215502
1726407097294854000,0.24385400390625,-2.2031290604380898,-0.067335635632639,0.876159798118842,-0.05140759279010091,-0.4384885932167702,0.18851443576317592,0.3999685299120454
1726407097304850200,0.25385009765625,-2.2153747317836907,-0.06280903391779719,0.8784199266098461,-0.06398640625174296,-0.4313455553372616,0.1958941494172776,0.40970574564997275
1726407097314846000,0.263845947265625,-2.227299685533157,-0.06074016224769302,0.8802898281797985,-0.07135976766543191,-0.4247189813079019,0.2025199047938567,0.4204238444004582
1726407097324843000,0.273843017578125,-2.2386954078413424,-0.06080994719334082,0.8817186851933202,-0.07462121035099374,-0.4185955676733677,0.20893055614757886,0.4327242465389283
1726407097334839000,0.283839111328125,-2.250411650523978,-0.06283836149287413,0.8828089904620651,-0.07441964273973181,-0.4125062361561063,0.215727097479274,0.44752331025866704
1726407097344836000,0.293836181640625,-2.262584509680254,-0.06528784241525254,0.8836574423936204,-0.07417074442567133,-0.40603642513078286,0.22365465964430853,0.46484772919590445
1726407097354832000,0.303831787109375,-2.2746003146275706,-0.06584983181462988,0.8843660799740924,-0.07873362968880906,-0.3989500970308509,0.23323640674271948,0.4837185689756782
1726407097364829200,0.3138291015625,-2.2851048557769578,-0.06327044798032175,0.8848298073903917,-0.0909034457948742,-0.39148505941325557,0.24456572538380283,0.5033205621037871
1726407097374825000,0.323824951171875,-2.29293059860862,-0.05869876184579131,0.8847815071762963,-0.10824749928433583,-0.3843720687995891,0.256854548075906,0.523188486792064
1726407097384821000,0.333821044921875,-2.296452257268657,-0.05648692837311944,0.8837899341290555,-0.12086809864091154,-0.3796799533682179,0.2675213228464451,0.5418935850440147
1726407097394818000,0.343818115234375,-2.293365633598334,-0.05503060251463958,0.8817497938519183,-0.1325788500352891,-0.37810987421876874,0.2766256655103687,0.5579455978448203
1726407097404814000,0.35381396484375,-2.286382972869986,-0.05242046029013382,0.8794940288504289,-0.1461539914520323,-0.37826795312628525,0.28399965080958284,0.5694987220970078
1726407097414811100,0.36381103515625,-2.27921486764231,-0.047943534423222835,0.8778003705398092,-0.1617612035980129,-0.37858300221444663,0.2895565462905166,0.5759680330729006
1726407097424807200,0.37380712890625,-2.2688572820119566,-0.04229653349556796,0.8759274007405136,-0.1794119292894519,-0.3802844239551582,0.293846848579859,0.5787123818945719
