time,seconds_elapsed,relativeAltitude,pressure
1726226023859914000,-0.5220859375,0,1022.991943359375
1726226024887569200,0.505569091796875,-0.06870269775390625,1023.0005645751953
1726226025915187200,1.533187255859375,-0.1426849365234375,1023.0091857910156
1726226026942848300,2.56084814453125,-0.1743927001953125,1023.0131530761719
1726226027970481200,3.588481201171875,-0.184967041015625,1023.0146026611328
1726226028169710000,3.7877099609375,-0.221954345703125,1023.0186462402344
1726226029230553000,4.848552978515625,-0.2695159912109375,1023.0249786376953
1726226030291378200,5.909378173828125,-0.343505859375,1023.0338287353516
1726226031352172000,6.970172119140625,-0.4280548095703125,1023.0441284179688
1726226032412949000,8.030948974609375,-0.539031982421875,1023.0574035644531
1726226033473759200,9.09175927734375,-0.665863037109375,1023.0727386474609
1726226034534580200,10.152580322265624,-0.7398529052734375,1023.0815124511719
1726226035595416000,11.213416015625,-0.7398529052734375,1023.0815887451172
1726226036656233000,12.27423291015625,-0.760986328125,1023.0842590332031
1726226037717057300,13.335057373046874,-0.760986328125,1023.0842590332031
1726226038777848300,14.395848388671874,-0.729278564453125,1023.0804443359375
1726226039838647000,15.45664697265625,-0.729278564453125,1023.0804443359375
1726226040899430100,16.51743017578125,-0.760986328125,1023.0840301513672
1726226041960212200,17.578212158203126,-0.760986328125,1023.0840301513672
1726226043020953000,18.638953125,-0.760986328125,1023.0840301513672
1726226044081669000,19.699669189453125,-0.78741455078125,1023.0876159667969
1726226045142429200,20.76042919921875,-0.8296890258789062,1023.0923461914062
1726226046203171300,21.82117138671875,-0.8349761962890625,1023.0928802490234
1726226047263933200,22.88193310546875,-0.8613967895507812,1023.0960845947266
1726226048324688100,23.942688232421876,-0.8983917236328125,1023.1007385253906
1726226049385495300,25.003495361328124,-0.9353866577148438,1023.1053161621094
1726226050446265300,26.064265380859375,-0.9618072509765625,1023.1081390380859
1726226051507085000,27.1250849609375,-1.0040817260742188,1023.1133270263672
1726226052567918000,28.18591796875,-1.0569305419921875,1023.1203460693359
1726226053628772400,29.2467724609375,-1.0622177124023438,1023.1208801269531
1726226054689589000,30.307589111328124,-1.0622177124023438,1023.1208801269531
1726226055750412300,31.368412353515627,-1.0622177124023438,1023.1208801269531
1726226056811216100,32.42921606445312,-1.0516433715820312,1023.1192016601562
1726226057871966200,33.48996630859375,-1.0357894897460938,1023.1172943115234
1726226058932775200,34.550775146484376,-1.0199356079101562,1023.1153869628906
1726226059993584000,35.611584228515625,-1.0146560668945312,1023.1150817871094
1726226061054425300,36.67242529296875,-1.0146560668945312,1023.1150817871094
1726226062115243300,37.7332431640625,-1.0040817260742188,1023.1139373779297
1726226063176063000,38.79406298828125,-0.9776611328125,1023.1104278564453
1726226064236889000,39.85488916015625,-0.945953369140625,1023.1067657470703
1726226065297758200,40.91575830078125,-0.9036788940429688,1023.1015777587891
1726226066358612000,41.97661206054688,-0.856109619140625,1023.0956268310547
1726226067419418000,43.03741821289063,-0.7768402099609375,1023.0860137939453
1726226068480203300,44.09820336914063,-0.7028579711914062,1023.0773162841797
1726226069540980200,45.15898022460937,-0.6552963256835938,1023.0712127685547
1726226070601694200,46.219694091796875,-0.5865936279296875,1023.0628204345703
1726226071662450200,47.2804501953125,-0.539031982421875,1023.0574035644531
