time,seconds_elapsed,z,y,x
1726225920255151900,0.02215185546875,-364.7433166503906,-45.45979309082031,-133.08230590820312
1726225920265233200,0.032233154296875,-364.92938232421875,-45.71217346191406,-133.4314422607422
1726225920275314200,0.042314208984375,-364.91241455078125,-45.73216247558594,-133.45645141601562
1726225920285395200,0.052395263671875,-364.86651611328125,-45.71742248535156,-133.4423828125
1726225920295476200,0.062476318359375,-364.8523864746094,-45.987640380859375,-133.4423828125
1726225920305557000,0.072556884765625,-364.8826904296875,-45.604766845703125,-133.55001831054688
1726225920315638000,0.082637939453125,-364.9981689453125,-45.692352294921875,-133.5475616455078
1726225920325720000,0.092719970703125,-364.82220458984375,-45.76707458496094,-133.41651916503906
1726225920335806200,0.10280615234375,-364.94073486328125,-45.74122619628906,-133.4099578857422
1726225920345880000,0.112880126953125,-364.7823486328125,-45.68302917480469,-133.36904907226562
1726225920355961000,0.122961181640625,-365.05322265625,-45.97392272949219,-133.1925506591797
1726225920366042000,0.1330419921875,-364.6336364746094,-45.867950439453125,-133.08226013183594
1726225920376123100,0.143123046875,-364.7815246582031,-45.75712585449219,-133.37136840820312
1726225920386204000,0.153203857421875,-365.02130126953125,-46.03294372558594,-133.70106506347656
1726225920396284200,0.1632841796875,-365.11444091796875,-45.921905517578125,-134.30783081054688
1726225920406365200,0.173365234375,-365.32568359375,-46.2952880859375,-134.88844299316406
1726225920416447200,0.183447265625,-365.353759765625,-46.720062255859375,-135.47576904296875
1726225920426529300,0.193529296875,-365.2785339355469,-47.09385681152344,-136.23080444335938
1726225920436615000,0.203614990234375,-365.1490783691406,-47.46412658691406,-136.69393920898438
1726225920446693000,0.213693115234375,-365.18603515625,-47.88771057128906,-137.11341857910156
1726225920456768000,0.22376806640625,-365.0391845703125,-48.27613830566406,-137.0768280029297
1726225920466849000,0.23384912109375,-364.87628173828125,-48.60169982910156,-136.9791717529297
1726225920476931000,0.24393115234375,-365.0987854003906,-48.7335205078125,-136.80104064941406
1726225920487011000,0.254010986328125,-364.68182373046875,-49.11737060546875,-136.73402404785156
1726225920497089000,0.264089111328125,-365.06634521484375,-48.91754150390625,-136.45579528808594
1726225920507170300,0.27417041015625,-364.6309509277344,-48.95426940917969,-136.3343505859375
1726225920517249000,0.2842490234375,-364.724853515625,-49.00746154785156,-136.42758178710938
1726225920527330000,0.294330078125,-364.90460205078125,-48.67628479003906,-135.9727783203125
1726225920537411300,0.304411376953125,-364.30517578125,-48.72953796386719,-135.28079223632812
1726225920547492000,0.3144921875,-364.2921447753906,-48.564849853515625,-134.92050170898438
1726225920557573000,0.324572998046875,-364.3438720703125,-48.46875,-134.5653533935547
1726225920567654100,0.334654052734375,-364.39202880859375,-48.65632629394531,-134.9681396484375
1726225920577735200,0.344735107421875,-364.6351318359375,-48.71244812011719,-135.505126953125
1726225920587816000,0.35481591796875,-364.7118835449219,-48.78544616699219,-136.5749969482422
1726225920597897000,0.36489697265625,-365.03192138671875,-49.452392578125,-138.4905548095703
1726225920607979000,0.37497900390625,-365.599853515625,-50.14698791503906,-140.86351013183594
1726225920618060000,0.38506005859375,-366.0408020019531,-50.89710998535156,-143.38778686523438
1726225920628141000,0.39514111328125,-365.48004150390625,-51.90299987792969,-145.8026885986328
1726225920638222300,0.405222412109375,-365.5845642089844,-52.62860107421875,-148.11224365234375
1726225920648303000,0.41530322265625,-365.58636474609375,-53.46574401855469,-150.06207275390625
1726225920658384100,0.425384033203125,-365.198974609375,-54.028045654296875,-151.990966796875
1726225920668470300,0.43547021484375,-364.90570068359375,-54.50563049316406,-154.11366271972656
1726225920678544100,0.445544189453125,-364.45782470703125,-55.06602478027344,-156.1916046142578
1726225920688626200,0.455626220703125,-363.934326171875,-55.620635986328125,-158.06736755371094
1726225920698711000,0.4657109375,-363.11785888671875,-56.16705322265625,-160.09524536132812
1726225920708786000,0.475785888671875,-362.8978576660156,-56.27061462402344,-162.1746368408203
1726225920718867000,0.485866943359375,-362.11944580078125,-56.556396484375,-164.13034057617188
1726225920728949000,0.495948974609375,-361.4515380859375,-56.722564697265625,-166.67489624023438
1726225920739030000,0.506030029296875,-360.3917236328125,-56.21343994140625,-169.49722290039062
1726225920749112000,0.516112060546875,-359.238037109375,-55.791778564453125,-172.90797424316406
1726225920759194000,0.526194091796875,-357.23297119140625,-54.97035217285156,-176.6813507080078
1726225920769275100,0.536275146484375,-356.1740417480469,-53.32965087890625,-180.14715576171875
1726225920779355100,0.546355224609375,-354.3265380859375,-51.44737243652344,-183.51266479492188
1726225920789435100,0.55643505859375,-352.66949462890625,-48.98722839355469,-186.60662841796875
1726225920799518200,0.566518310546875,-350.7882080078125,-46.17683410644531,-189.32106018066406
1726225920809600000,0.57660009765625,-349.187744140625,-42.9383544921875,-191.6424560546875
1726225920819681300,0.586681396484375,-346.95306396484375,-39.19511413574219,-193.5023651123047
1726225920829760000,0.596760009765625,-345.3085632324219,-34.927490234375,-194.59725952148438
1726225920839839000,0.6068388671875,-343.7037353515625,-30.4912109375,-195.4459991455078
1726225920849920000,0.616919921875,-342.16326904296875,-25.525970458984375,-195.09580993652344
1726225920860001000,0.6270009765625,-341.09765625,-20.3204345703125,-193.95721435546875
1726225920870080000,0.637080078125,-340.3492431640625,-15.415008544921875,-191.6608123779297
1726225920880162000,0.647162109375,-339.53021240234375,-10.627182006835938,-189.1593017578125
1726225920890244000,0.657244140625,-338.7661437988281,-6.1698150634765625,-185.98480224609375
1726225920900326000,0.667325927734375,-338.41162109375,-2.336181640625,-181.98866271972656
1726225920910407200,0.6774072265625,-338.1004638671875,0.5859527587890625,-178.0290985107422
1726225920920488200,0.68748828125,-338.73370361328125,2.91845703125,-173.6366729736328
1726225920930576100,0.697576171875,-339.8357849121094,4.4911346435546875,-169.2600860595703
1726225920940650000,0.70764990234375,-340.90155029296875,5.3763427734375,-165.09255981445312
1726225920950731000,0.71773095703125,-342.79095458984375,5.54425048828125,-160.88763427734375
1726225920960811300,0.727811279296875,-343.94134521484375,5.4225006103515625,-157.1610870361328
1726225920970891800,0.737891845703125,-345.742919921875,4.611572265625,-154.19491577148438
1726225920980972500,0.74797265625,-347.19775390625,3.2050628662109375,-151.99009704589844
1726225920991054600,0.7580546875,-349.3802795410156,1.7719879150390625,-150.63299560546875
1726225921001135600,0.768135498046875,-351.26214599609375,-0.12872314453125,-149.83126831054688
1726225921011217700,0.7782177734375,-352.80157470703125,-1.9508819580078125,-149.74276733398438
1726225921021300500,0.788300537109375,-354.1314392089844,-3.5281829833984375,-149.84426879882812
1726225921031381500,0.798381591796875,-355.20965576171875,-5.124847412109375,-150.2436065673828
1726225921041463600,0.808463623046875,-356.3203125,-6.6996917724609375,-150.85423278808594
1726225921051545600,0.818545654296875,-356.93426513671875,-7.994781494140625,-151.5911102294922
1726225921061627600,0.828627685546875,-357.6155700683594,-9.14520263671875,-152.18629455566406
1726225921071708700,0.838708740234375,-358.5069885253906,-9.853240966796875,-152.66810607910156
1726225921081790700,0.848790771484375,-358.54718017578125,-10.850997924804688,-153.3359832763672
1726225921091870500,0.858870361328125,-359.1690979003906,-11.699737548828125,-153.81288146972656
1726225921101949700,0.86894970703125,-359.35528564453125,-12.5067138671875,-154.93040466308594
1726225921112028700,0.879028564453125,-359.8551330566406,-12.975997924804688,-156.0631561279297
1726225921122108700,0.889108642578125,-359.7730407714844,-13.415817260742188,-157.36126708984375
1726225921132190700,0.899190673828125,-359.6011962890625,-13.760086059570312,-158.7689208984375
1726225921142272800,0.909272705078125,-359.5816650390625,-13.81597900390625,-160.19192504882812
1726225921152353500,0.919353515625,-359.53778076171875,-13.854446411132812,-161.76373291015625
1726225921162432800,0.929432861328125,-358.99127197265625,-13.406082153320312,-163.21466064453125
1726225921172510700,0.9395107421875,-358.24395751953125,-13.049362182617188,-164.7469482421875
1726225921182590500,0.949590576171875,-357.7921447753906,-12.315322875976562,-166.13951110839844
1726225921192672500,0.959672607421875,-357.49322509765625,-11.785690307617188,-167.4515838623047
1726225921202754600,0.969754638671875,-356.5848693847656,-11.575729370117188,-169.1130828857422
1726225921212834600,0.97983447265625,-355.9744567871094,-11.36090087890625,-171.03482055664062
1726225921222916600,0.98991650390625,-354.85888671875,-11.23114013671875,-172.7948455810547
1726225921232998700,0.99999853515625,-354.0397033691406,-10.76739501953125,-174.54237365722656
1726225921243079700,1.01007958984375,-352.6260986328125,-10.530044555664062,-176.2108612060547
1726225921253158700,1.02015869140625,-351.48016357421875,-10.710891723632812,-178.0123291015625
1726225921263239700,1.03023974609375,-350.1076965332031,-10.552108764648438,-179.39938354492188
1726225921273321700,1.04032177734375,-349.1632080078125,-10.285247802734375,-180.65908813476562
1726225921283401500,1.0504013671875,-348.31951904296875,-10.151535034179688,-181.29542541503906
1726225921293483500,1.0604833984375,-347.05340576171875,-9.90252685546875,-182.41026306152344
1726225921303565600,1.070565673828125,-345.9984130859375,-9.560836791992188,-183.35899353027344
1726225921313646600,1.080646484375,-344.58251953125,-9.181716918945312,-184.0669708251953
1726225921323727600,1.0907275390625,-343.28289794921875,-8.543045043945312,-184.7226104736328
1726225921333808600,1.10080859375,-341.96240234375,-7.905670166015625,-185.1739044189453
1726225921343889700,1.1108896484375,-340.88421630859375,-6.83697509765625,-185.30804443359375
1726225921353970400,1.120970458984375,-339.8847961425781,-5.908233642578125,-184.76690673828125
1726225921364051500,1.131051513671875,-338.5433349609375,-4.630615234375,-184.48580932617188
1726225921374132700,1.1411328125,-337.957763671875,-4.060302734375,-184.35452270507812
1726225921384213800,1.1512138671875,-336.6448974609375,-3.4334716796875,-184.19134521484375
1726225921394293500,1.16129345703125,-335.4830017089844,-3.0364532470703125,-184.44851684570312
