time,seconds_elapsed,relativeAltitude,pressure
1726407168783089700,-0.526910400390625,0,1024.7273254394531
1726407169811367700,0.50136767578125,-0.05284881591796875,1024.7332763671875
1726407170839651800,1.52965185546875,-0.10041046142578125,1024.7392272949219
1726407171867951600,2.55795166015625,-0.158538818359375,1024.7464752197266
1726407172896247600,3.58624755859375,-0.22724151611328125,1024.754409790039
1726407173094692600,3.784692626953125,-0.24309539794921875,1024.7566223144531
1726407174156198700,4.84619873046875,-0.24309539794921875,1024.7566986083984
1726407175217722600,5.90772265625,-0.2695159912109375,1024.759750366211
1726407176279227600,6.9692275390625,-0.285369873046875,1024.761734008789
1726407177340684500,8.0306845703125,-0.29065704345703125,1024.7623443603516
1726407178402148600,9.092148681640625,-0.3012237548828125,1024.7636413574219
1726407179463628800,10.15362890625,-0.311798095703125,1024.7648620605469
1726407180525123800,11.215123779296874,-0.311798095703125,1024.7648620605469
1726407181586647800,12.276647705078124,-0.311798095703125,1024.764633178711
1726407182648147700,13.338147705078125,-0.30651092529296875,1024.7644805908203
1726407183709646600,14.399646484375,-0.2959442138671875,1024.7631072998047
1726407184771150800,15.46115087890625,-0.2959442138671875,1024.762954711914
1726407185832717600,16.522717529296877,-0.2959442138671875,1024.762954711914
1726407186894191600,17.584191650390625,-0.31707763671875,1024.7653198242188
1726407187955715600,18.645715576171874,-0.33821868896484375,1024.7683715820312
1726407189017276000,19.70727587890625,-0.36992645263671875,1024.7716522216797
1726407190078863600,20.768863525390625,-0.40163421630859375,1024.775619506836
1726407191140444000,21.83044384765625,-0.4227752685546875,1024.7781372070312
1726407192202035700,22.89203564453125,-0.44919586181640625,1024.7814178466797
1726407193263622700,23.95362255859375,-0.475616455078125,1024.7846984863281
1726407194325164800,25.015164794921876,-0.502044677734375,1024.7882843017578
1726407195386735600,26.076735595703123,-0.50732421875,1024.788589477539
1726407196448364800,27.13836474609375,-0.502044677734375,1024.7882843017578
1726407197510015700,28.200015625,-0.4703369140625,1024.7842407226562
1726407198571656700,29.26165673828125,-0.4280548095703125,1024.7789764404297
1726407199633305900,30.323305908203125,-0.3646392822265625,1024.7711944580078
1726407200694910700,31.38491064453125,-0.348785400390625,1024.7692108154297
1726407201756517600,32.446517578125,-0.31707763671875,1024.7652435302734
1726407202818116600,33.50811669921875,-0.285369873046875,1024.7618865966797
1726407203879740700,34.56974072265625,-0.2642364501953125,1024.7589874267578
1726407204941297700,35.63129760742188,-0.253662109375,1024.7578430175781
1726407206002846700,36.6928466796875,-0.2325286865234375,1024.7554016113281
1726407207064427500,37.75442749023438,-0.1374053955078125,1024.7440338134766
1726407208125980700,38.81598071289063,-0.0422821044921875,1024.7322845458984
1726407209187520800,39.87752075195313,0.08983612060546875,1024.7162628173828
1726407210249050600,40.939050537109374,0.2061004638671875,1024.701919555664
