time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1726226130248778800,0.03977880859375,-0.08017063791772054,0.19017324827361826,-0.02883141453091485,0.1112178337280571,0.9802009357474473,0.047001290171676126,0.379122867031732
1726226130258772700,0.049772705078125,-0.08158203336075459,0.1906331265445148,-0.028558951222649575,0.12114878353278057,0.9798819687406591,0.05171870942643318,0.37970000985875013
1726226130268767700,0.059767822265625,-0.08311757051184683,0.19078346681248715,-0.028412762854910588,0.1305896142514549,0.9796102468377338,0.05619846841247616,0.3796477997762077
1726226130278762800,0.0697626953125,-0.0839355015381483,0.19099348756069504,-0.027919463665709833,0.1399113905531731,0.9793159313495646,0.06068257122122158,0.3797598938358165
1726226130288756700,0.0797568359375,-0.08429786240149621,0.19163180148946585,-0.02726541504464356,0.14817285225257093,0.9789547440178088,0.06466373565151319,0.3808089111585932
1726226130298751700,0.089751708984375,-0.08511788286140004,0.19301427131653057,-0.026903754972932594,0.15500124565626208,0.9784771078312041,0.0678543016301265,0.38339271269152164
1726226130308746800,0.099746826171875,-0.08656002042772332,0.19529743617334105,-0.02671514048571462,0.16227524729053744,0.9777951291288177,0.0711468549691248,0.38776507740654537
1726226130318740700,0.10974072265625,-0.08910496900574383,0.19872563194108106,-0.02683131596763981,0.17070410167028155,0.9768265433399352,0.07481996938302143,0.39436922351599135
1726226130328735700,0.11973583984375,-0.09205958112974899,0.2030866576426508,-0.026900226834670665,0.18038948417848866,0.9755985399303277,0.07899068239640808,0.40281801767096925
1726226130338730800,0.129730712890625,-0.09247183891631151,0.2081088616632517,-0.025490531059182652,0.19119337490027838,0.9741675440755541,0.08389604387460466,0.41281417854641617
1726226130348724700,0.139724853515625,-0.08932313539123389,0.21250751751377298,-0.022629313613773676,0.19928475904512283,0.9729372627950866,0.08787179063109588,0.4219454050947125
1726226130358719700,0.1497197265625,-0.08498142058448681,0.21500650644118768,-0.019775602839692753,0.20349216782778906,0.9722364213521272,0.09020857112675462,0.4274004064723578
1726226130368714800,0.15971484375,-0.08242891794138328,0.21517731156108844,-0.018018263516642433,0.20804066928331172,0.972000497429796,0.09267818660613919,0.4279044526714961
1726226130378708700,0.169708740234375,-0.08231955829893622,0.2128907523975507,-0.01741780907022173,0.21568665537445536,0.972137361358446,0.09655701263202296,0.4230620766450882
1726226130388703700,0.179703857421875,-0.08270777029380756,0.2088323524477882,-0.017104028887703366,0.22516946955150638,0.9725303691897189,0.10139610982855082,0.414489865641618
1726226130398698800,0.18969873046875,-0.08185368876460734,0.20386076571081985,-0.016412032532898555,0.23385599796421008,0.9731022129718856,0.1060352089621692,0.40419006487973597
1726226130408692700,0.199692626953125,-0.07866889253866605,0.1982237042243581,-0.014976834573544913,0.23968419549158115,0.9739008409222825,0.10954621725335191,0.39284598947390603
1726226130418687700,0.209687744140625,-0.07199054249661768,0.19208955587481602,-0.0122223448465656,0.24218472775861877,0.9749150907094609,0.11177145099436958,0.38095782263974454
1726226130428682800,0.219682861328125,-0.06001756179145458,0.18599297933196798,-0.0071854311642321825,0.24101608620848144,0.9760470532296068,0.11263723974305825,0.3698301860164932
1726226130438676700,0.2296767578125,-0.043644258858312114,0.181282856931389,-0.00008649989479158212,0.23640138283240436,0.9770245382334127,0.11206944703891569,0.36207580388572547
1726226130448671700,0.239671630859375,-0.028232694808227456,0.17838139212144508,0.006531251889342139,0.22898795209172004,0.9777814374759809,0.10991298103205702,0.35786123608946274
1726226130458666800,0.249666748046875,-0.017395530691401317,0.17662912843388018,0.010798416554229735,0.2189116032919431,0.9784951924435946,0.10598509496898992,0.35538405609803925
1726226130468660700,0.25966064453125,-0.009148140204089583,0.1752632700861113,0.013624920638287182,0.20640251742414575,0.9792721986733394,0.10061430540833599,0.3533071995152916
1726226130478655700,0.26965576171875,-0.0014308530236805932,0.17336721757161258,0.015879308930841423,0.19077069974285607,0.9802647856143336,0.09366238771229828,0.3499662939426565
1726226130488650800,0.279650634765625,0.00633965913828684,0.17032459414864046,0.017601607224845092,0.16947282613871212,0.9816497334753438,0.08392577814439639,0.3441032607288695
1726226130498644700,0.289644775390625,0.014493647407967082,0.1659107303420467,0.01882958024128984,0.14040754056030308,0.983446784776539,0.0703672602293649,0.33522189380482564
1726226130508639700,0.2996396484375,0.02262123966289267,0.16042408504075897,0.019602434543503078,0.10493362255182566,0.9853982369610109,0.05357441016222354,0.3238972803648874
1726226130518634800,0.309634765625,0.03294462339940574,0.1540429665137194,0.021222181414703625,0.06412182710191197,0.9872436380203948,0.0342116663743443,0.3105768819776687
1726226130528628700,0.319628662109375,0.04616063762115272,0.1469968982422805,0.024421153660869166,0.0216766044053369,0.9887347451476837,0.01411607167083699,0.2956600698134989
1726226130538623700,0.329623779296875,0.05713737056077026,0.13971775515947701,0.02759457229788004,-0.009887245194119983,0.9898063999086515,-0.0009045286043363023,0.28018884725387355
1726226130548618800,0.33961865234375,0.06255434176590977,0.132704443082297,0.028939477011928318,-0.031065479512214986,0.9906691705272138,-0.01125113612307699,0.26538540184229126
1726226130558612700,0.34961279296875,0.06373220714376723,0.12691504417755584,0.02866385580787836,-0.04648482156014697,0.9913168754338368,-0.01902032786155082,0.2532335201071019
1726226130568607700,0.359607666015625,0.0635987577159854,0.12307748678085824,0.02768595884950903,-0.06311789527882387,0.9916317528207904,-0.027417947904116245,0.24502121226470489
1726226130578602800,0.369602783203125,0.06438937655910038,0.12134976176949319,0.026880789622215517,-0.08405938945262803,0.9915244608581176,-0.03782626853500479,0.24093313708634786
