time,seconds_elapsed,z,y,x
1726995685404966400,0.01896630859375,-8.946593259343505,-3.2761560521051285,-2.3228549183011054
1726995685414952200,0.0289521484375,-8.853118272310494,-3.4568224158570167,-2.4172429285258055
1726995685424938200,0.038938232421875,-8.756878496739267,-3.6303769017770886,-2.511539753335714
1726995685434924300,0.04892431640625,-8.660483822867274,-3.7973993555799126,-2.597337922130525
1726995685444911400,0.058911376953125,-8.566388658109307,-3.9566295480713247,-2.670664731886983
1726995685454897200,0.068897216796875,-8.475675537005067,-4.104568238958716,-2.7360227547213434
1726995685464883200,0.07888330078125,-8.388257950314879,-4.238348348373174,-2.8006992250323295
1726995685474869200,0.088869140625,-8.302771623948216,-4.3543078466758125,-2.876521358735859
1726995685484856300,0.098856201171875,-8.21464325864017,-4.452220231634378,-2.9778777466684576
1726995685494842400,0.10884228515625,-8.115622912439704,-4.538394248004257,-3.1160923313990234
1726995685504828200,0.118828125,-7.995324215888977,-4.623761331905424,-3.2963620970487595
1726995685514814500,0.128814453125,-7.845062927272916,-4.721080427145957,-3.512375083991885
1726995685524801300,0.13880126953125,-7.660748562407493,-4.840340720559657,-3.74892290944159
1726995685534787000,0.148787109375,-7.443474177226424,-4.984726102879643,-3.9896854299768805
1726995685544773400,0.1587734375,-7.1956649530500165,-5.146207289168238,-4.231942865245044
1726995685554760200,0.16876025390625,-6.920670200306176,-5.305367923554778,-4.4863995646119115
1726995685564746500,0.17874658203125,-6.616914047980308,-5.45109624491632,-4.761552430526912
1726995685574732300,0.188732177734375,-6.275866568136215,-5.585987530443072,-5.0577293797701595
1726995685584718300,0.19871826171875,-5.8799523565948,-5.712553470695019,-5.3817544131428
1726995685594705400,0.208705322265625,-5.414757103556394,-5.8330783772170545,-5.729395884424448
1726995685604691200,0.218691162109375,-4.8881537343531845,-5.937346560943126,-6.084755382737517
1726995685614677200,0.22867724609375,-4.324860802917182,-6.006621172699332,-6.4332309667557475
1726995685624663300,0.238663330078125,-3.7758871964737772,-6.031045419859886,-6.74829995573461
1726995685634650000,0.248650146484375,-3.290316387143731,-6.006296763050556,-7.019158631587028
1726995685644636400,0.258636474609375,-2.8621374440744516,-5.93607171870172,-7.2623401959627865
1726995685654622200,0.268622314453125,-2.483188395859301,-5.826313120865821,-7.487205182403326
1726995685664609300,0.278609375,-2.160848246833682,-5.676843274888396,-7.698997336781025
1726995685674595300,0.28859521484375,-1.9080309852369128,-5.489635526669025,-7.8989687049835915
1726995685684581400,0.298581298828125,-1.710715830631554,-5.31159191263616,-8.064169788578152
1726995685694567200,0.308567138671875,-1.539241658116877,-5.125216523587703,-8.217862220686674
1726995685704554200,0.31855419921875,-1.394045543935895,-4.888411216245592,-8.386324351903795
1726995685714540300,0.328540283203125,-1.278686203483492,-4.622851815845072,-8.553629714301229
1726995685724526000,0.338526123046875,-1.1889247570808976,-4.338533354438841,-8.714010245871544
1726995685734512400,0.348512451171875,-1.121168075606972,-4.018291931258141,-8.87506180857122
1726995685744499200,0.358499267578125,-1.0385858731839805,-3.6580122199386356,-9.039395461681485
1726995685754485200,0.3684853515625,-0.8821671579167246,-3.281683291094005,-9.199059369415044
1726995685764471300,0.37847119140625,-0.6683041886143386,-2.90636909224987,-9.342202934980392
1726995685774457300,0.388457275390625,-0.4118812306758016,-2.5536624465331434,-9.459362748983501
1726995685784444400,0.3984443359375,-0.12270110891680232,-2.229295467855036,-9.549113162535429
1726995685794430200,0.40843017578125,0.16070304152294992,-1.930593530178815,-9.613394203788042
1726995685804416300,0.418416259765625,0.4464984436139464,-1.6733109597362577,-9.652514500299096
1726995685814403300,0.4284033203125,0.7406876531060784,-1.4594861304871738,-9.669109661269188
1726995685824389000,0.43838916015625,1.0360619076643138,-1.27359852495566,-9.668243399828672
1726995685834375400,0.44837548828125,1.3771005466148256,-1.092668176505342,-9.647800915780662
