time,seconds_elapsed,z,y,x
1726406894827145200,0.038145263671875,-331.77960205078125,-3.4568634033203125,-162.9777069091797
1726406894837223200,0.04822314453125,-331.78253173828125,-3.1854400634765625,-162.98388671875
1726406894847301000,0.058301025390625,-331.47210693359375,-3.49005126953125,-163.2703094482422
1726406894857379000,0.068379150390625,-331.68597412109375,-3.4654388427734375,-163.3238525390625
1726406894867458000,0.0784580078125,-331.854736328125,-3.25054931640625,-163.3570556640625
1726406894877536000,0.088535888671875,-331.72918701171875,-3.5508575439453125,-163.5168914794922
1726406894887615000,0.098614990234375,-331.33856201171875,-3.442962646484375,-163.7007293701172
1726406894897694200,0.108694091796875,-331.56298828125,-3.454833984375,-163.8555450439453
1726406894907771100,0.118771240234375,-331.254638671875,-3.2144012451171875,-163.8839111328125
1726406894917848000,0.12884814453125,-331.621337890625,-3.1528472900390625,-164.00376892089844
1726406894927926000,0.138926025390625,-331.33026123046875,-3.4191741943359375,-164.18922424316406
1726406894938005000,0.1490048828125,-331.14959716796875,-3.3191680908203125,-164.15817260742188
1726406894948083000,0.1590830078125,-331.55474853515625,-3.401611328125,-164.2886505126953
1726406894958162200,0.169162109375,-331.04534912109375,-3.4875640869140625,-164.36863708496094
1726406894968239000,0.179239013671875,-330.958984375,-3.57464599609375,-164.50990295410156
1726406894978315000,0.18931494140625,-331.2018127441406,-3.71954345703125,-164.5208740234375
1726406894988394000,0.19939404296875,-331.25933837890625,-3.6975250244140625,-164.472900390625
1726406894998473000,0.209472900390625,-331.04180908203125,-3.8828277587890625,-164.5907745361328
1726406895008552200,0.21955224609375,-331.13189697265625,-3.820831298828125,-164.5451202392578
1726406895018630100,0.229630126953125,-331.1361083984375,-3.8837738037109375,-164.64756774902344
1726406895028708900,0.239708984375,-330.733642578125,-4.101409912109375,-164.82020568847656
1726406895038786000,0.2497861328125,-330.9374084472656,-4.22320556640625,-164.88497924804688
1726406895048865000,0.259864990234375,-330.30633544921875,-4.20794677734375,-165.16722106933594
1726406895058942000,0.26994189453125,-330.4660339355469,-4.6480255126953125,-165.2691650390625
1726406895069020200,0.280020263671875,-330.49432373046875,-4.857391357421875,-165.5491180419922
1726406895079099000,0.290098876953125,-330.30230712890625,-5.204742431640625,-165.87681579589844
1726406895089177000,0.300177001953125,-330.35894775390625,-5.35186767578125,-165.88238525390625
1726406895099255000,0.310255126953125,-330.24359130859375,-5.5557861328125,-165.9269256591797
1726406895109333000,0.3203330078125,-330.35467529296875,-5.8149566650390625,-166.1619873046875
1726406895119410000,0.330409912109375,-330.12579345703125,-6.1630859375,-166.125244140625
1726406895129486000,0.340486083984375,-329.6759033203125,-6.588714599609375,-166.46051025390625
1726406895139565000,0.35056494140625,-329.8671875,-7.1121368408203125,-166.52264404296875
1726406895149644000,0.36064404296875,-329.95111083984375,-7.5569915771484375,-166.6912841796875
1726406895159723000,0.370722900390625,-329.852783203125,-7.8261566162109375,-166.77745056152344
1726406895169801000,0.380801025390625,-329.4293212890625,-8.221389770507812,-166.99623107910156
1726406895179880000,0.3908798828125,-329.587158203125,-8.41033935546875,-166.8368377685547
1726406895189959200,0.400959228515625,-329.697509765625,-8.481216430664062,-166.8657684326172
1726406895200038000,0.411037841796875,-329.7303771972656,-8.864639282226562,-166.80970764160156
